Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2019-10-25,5.2e-07,1.71752433,-20.96771457,26.14309341,11.56590034,14.120522
2019-10-24,0.00012834,1.712979,-0.02926452,7.77835324,3.67760076,24.99030874
2019-10-23,0.03687583,1.66980039,-0.00012829,7.67112189,3.62439686,25.38663603
2019-10-22,0.00014288,1.70636213,-0.43337004,7.78835376,4.69613897,24.91505103
2019-10-21,0.00011393,1.708359,-0.48926867,7.85399954,4.73837512,24.33623451
2019-10-18,0.3933239,1.31448812,0.00014494,6.7364195,2.88204537,26.19214555
2019-10-17,0.00022205,1.71040347,-0.19743622,7.7001993,4.00197517,24.91119491
2019-10-16,0.22639594,1.49484554,5.312e-05,7.06938923,3.14295899,25.30127736
2019-10-15,7.826e-05,1.74500292,-1.47358298,7.79364269,6.0747237,21.18609229
2019-10-11,0.28214476,1.51437344,-0.18242934,6.74006824,3.33670406,24.54002976
2019-10-10,3.10451679,-1.28286598,-1.77790735,-2.05855626,3.12707417,7.94653111
2019-10-09,3.05828472,-1.17254658,-1.89778942,-2.57382489,2.46116547,7.30644856
2019-10-08,3.03685169,-1.08452495,-2.0821986,-2.82843195,2.14892797,7.03537415
2019-10-07,3.04562016,-1.11607102,-1.97666718,-2.69240959,2.3685685,7.34266641
2019-10-04,2.97629033,-1.01285466,-2.09039591,-2.85026452,2.00297073,6.87392392
2019-10-03,2.99698343,-0.97278906,-2.26446761,-2.87575938,1.85451117,6.65405427
2019-10-02,3.04782544,-0.98817714,-2.0483991,-2.92997817,1.88592516,6.70030041
2019-10-01,3.05485288,-0.96686385,-1.88657129,-2.90011905,1.90273703,6.79180777
2019-09-30,3.10596641,-1.01460147,-1.75870277,-2.93663012,2.07421737,7.16556924
2019-09-27,3.07126547,-0.96312437,-1.6413654,-2.96520557,1.96507691,6.71794931
2019-09-26,3.12711232,-1.0240273,-1.55521541,-3.07046456,2.04097506,6.8906279
2019-09-25,3.18139123,-1.04979986,-1.69385574,-3.04704795,2.07501927,7.05807192
2019-09-24,3.0771608,-0.89444277,-1.84301774,-3.20766301,1.76708525,6.64621923
2019-09-23,3.09089997,-0.96104722,-1.5923891,-2.94831302,1.97615658,6.66983892
