Date,SENT^ ,SENT,pdnd,ripo,nipo,cefd,s,indpro,consdur,consnon,consserv,recess,employ,cpi
1958-01-01,.,.,.,.,.,.,.,20.7694,.,.,.,1,52076,28.6
1958-02-01,.,.,.,.,.,.,.,20.3263,.,.,.,1,51576,28.6
1958-03-01,.,.,.,.,.,.,.,20.0771,.,.,.,1,51299,28.8
1958-04-01,.,.,.,.,.,.,.,19.7448,.,.,.,1,51027,28.9
1958-05-01,.,.,.,.,.,.,.,19.9386,.,.,.,0,50914,28.9
1958-06-01,.,.,.,.,.,.,.,20.4648,.,.,.,0,50914,28.9
1958-07-01,.,.,.,.,.,.,.,20.7694,.,.,.,0,51039,29.0
1958-08-01,.,.,.,.,.,.,.,21.1848,.,.,.,0,51233,28.9
1958-09-01,.,.,.,.,.,.,.,21.3787,.,.,.,0,51506,28.9
1958-10-01,.,.,.,.,.,.,.,21.6279,.,.,.,0,51485,28.9
1958-11-01,.,.,.,.,.,.,.,22.2648,.,.,.,0,51944,29.0
1958-12-01,.,.,.,.,.,.,0.164835164835165,22.2925,.,.,.,0,52085,28.9
1959-01-01,.,.,.,.,.,.,0.171457456495709,22.6248,42.3,125.1,138.7,0,52478,29.0
1959-02-01,.,.,.,.,.,.,0.174789745668254,23.0679,44.2,125.4,140,0,52688,28.9
1959-03-01,.,.,.,.,.,.,0.197191451004578,23.4002,44.4,127.7,140.5,0,53014,28.9
1959-04-01,.,.,.,.,.,.,0.22031799817542,23.8987,45.1,125.6,141.5,0,53321,29.0
1959-05-01,.,.,.,.,.,.,0.2259676210584,24.2587,45.4,128,142.8,0,53550,29.0
1959-06-01,.,.,.,.,.,.,0.246560023338358,24.2864,46,127.9,144.3,0,53681,29.1
1959-07-01,.,.,.,.,.,.,0.24527975505756,23.7048,45.4,127.3,145.1,0,53804,29.2
1959-08-01,.,.,.,.,.,.,0.245582438493951,22.9017,46.2,127.9,146.1,0,53336,29.2
1959-09-01,.,.,.,.,.,.,0.26404869323794,22.8741,47.4,129.4,147.4,0,53428,29.3
1959-10-01,.,.,.,.,.,.,0.267453206777255,22.7079,44.8,129.8,148.3,0,53358,29.4
1959-11-01,.,.,.,.,.,.,0.268304731082059,22.8464,44.7,129,149.2,0,53634,29.4
1959-12-01,.,.,.,.,.,.,0.262439725043603,24.2587,42.8,129.7,150.4,0,54174,29.4
1960-01-01,.,.,.,13.8,16,.,0.265304513846316,24.8956,43.2,129.6,150.8,0,54274,29.3
1960-02-01,.,.,.,8,16,.,0.255321764788535,24.6741,45.7,128.4,151.2,0,54513,29.4
1960-03-01,.,.,.,19.4,21,.,0.251348574364244,24.4525,47.4,130.8,151.9,0,54454,29.4
1960-04-01,.,.,.,15.9,16,.,0.246023770747427,24.2587,49.1,134.1,153.3,0,54813,29.5
1960-05-01,.,.,.,25.3,19,.,0.250812048492164,24.231,45.7,130.3,154,1,54475,29.5
1960-06-01,.,.,.,30.6,40,.,0.24124817670348,23.9264,44.5,131.5,154.1,1,54348,29.6
1960-07-01,.,.,.,10.4,17,.,0.236317816959967,23.8433,44.9,132.2,154.3,1,54306,29.6
1960-08-01,.,.,.,27.5,23,.,0.235038769964875,23.8156,45.8,131.4,154.4,1,54272,29.6
1960-09-01,.,.,.,18.1,20,.,0.235071113533872,23.5664,47.1,131.1,155.1,1,54227,29.6
1960-10-01,.,.,.,12.6,27,.,0.220670391061453,23.5387,46.7,132.6,156.1,1,54142,29.8
1960-11-01,.,.,.,7.4,38,.,0.208430664684646,23.2064,45.1,133.1,157.2,1,53961,29.8
1960-12-01,.,.,.,25,16,.,0.204155997636399,22.7633,42.3,131.5,157.4,1,53742,29.8
1961-01-01,.,.,22.93586765,29.9,11,.,0.20528507235025,22.791,41.6,132.3,158.3,1,53683,29.8
1961-02-01,.,.,19.9513146,74.9,27,.,0.204256023846982,22.7633,41.9,133.3,158.5,1,53557,29.8
1961-03-01,.,.,17.81048364,70.7,25,.,0.20160616117346,22.9018,43.2,134.6,159.9,0,53659,29.8
1961-04-01,.,.,16.59843932,71.1,27,.,0.259697703253233,23.3725,42.7,133.9,161,0,53627,29.8
1961-05-01,.,.,15.90732674,44.7,42,.,0.254178981539803,23.7325,43.5,134.3,162.1,0,53786,29.8
1961-06-01,.,.,17.2092092,22.8,29,.,0.243006098760574,24.0648,43.8,134.5,162.5,0,53977,29.8
1961-07-01,.,.,19.72286501,16.7,29,.,0.247728335137004,24.3418,44.1,133.9,162.5,0,54123,30.0
1961-08-01,.,.,20.24949502,23.8,50,.,0.251362857587872,24.5633,44.6,134.6,162.9,0,54298,29.9
1961-09-01,.,.,21.45830171,5.6,37,.,0.258293328108161,24.5356,45,135.3,164.1,0,54388,30.0
1961-10-01,.,.,21.47236406,14.5,53,.,0.267198174756784,25.0064,45.6,135.3,165.6,0,54522,30.0
1961-11-01,.,.,22.47592531,20.5,53,.,0.2745832985681,25.3941,46.7,136.3,166.9,0,54742,30.0
1961-12-01,.,.,22.84916027,13.9,52,.,0.284412032816773,25.6156,47.7,136.9,167.8,0,54872,30.0
1962-01-01,.,.,22.35586515,16.2,40,.,0.284372692446055,25.3941,47.5,137.2,168.5,0,54891,30.0
1962-02-01,.,.,22.78873458,4.1,31,.,0.279374961090705,25.8095,47.4,137.4,169.2,0,55188,30.1
1962-03-01,.,.,23.9150926,2.4,50,.,0.280213587569056,25.9479,48.2,138.9,170.2,0,55275,30.1
1962-04-01,.,.,28.36528647,-3.1,74,.,0.236102968608432,26.0033,48.4,139,171.6,0,55602,30.2
1962-05-01,.,.,30.41757426,-13.4,40,.,0.231087021645685,25.9756,49.6,139.5,173,0,55628,30.2
1962-06-01,.,.,28.83345095,1.2,5,.,0.232040324348017,25.9202,49.1,137.8,173.4,0,55644,30.2
1962-07-01,.,.,26.92551022,2.7,6,.,0.223527174533146,26.1695,49.2,138.2,174,0,55746,30.3
1962-08-01,.,.,23.08365974,3.6,7,.,0.21266013564431,26.1972,49,139.2,174.7,0,55838,30.3
1962-09-01,.,.,24.92992554,-0.4,17,.,0.208199886428166,26.3633,50.5,142.5,175.7,0,55978,30.4
1962-10-01,.,.,29.44705001,-13.4,7,.,0.194205264860369,26.391,49,141,176.5,0,56041,30.4
1962-11-01,.,.,28.42385211,-7.8,11,.,0.181446894070892,26.5018,52.1,141.7,177.9,0,56056,30.4
1962-12-01,.,.,31.23360604,-11.4,10,.,0.162167211583372,26.5018,53.5,141.8,178.3,0,56028,30.4
