,date,1,2,3,4,5
0,1994-01-01,0,0,1,0,1
1,1994-02-01,0,0,0,1,1
2,1994-03-01,0,0,0,1,1
3,1994-04-01,0,0,0,1,1
4,1994-05-01,0,0,1,0,1
5,1994-06-01,0,1,0,0,1
6,1994-07-01,1,1,0,0,0
7,1994-08-01,1,1,0,0,0
8,1994-09-01,0,0,0,1,1
9,1994-10-01,0,0,1,1,0
10,1994-11-01,0,0,1,1,0
11,1994-12-01,1,0,1,0,0
12,1995-01-01,1,1,0,0,0
13,1995-02-01,1,1,0,0,0
14,1995-03-01,1,1,0,0,0
15,1995-04-01,1,1,0,0,0
16,1995-05-01,1,1,0,0,0
17,1995-06-01,1,1,0,0,0
18,1995-07-01,1,1,0,0,0
19,1995-08-01,0,0,0,1,1
20,1995-09-01,1,1,0,0,0
21,1995-10-01,1,1,0,0,0
22,1995-11-01,1,1,0,0,0
23,1995-12-01,1,1,0,0,0
24,1996-01-01,1,1,0,0,0
25,1996-02-01,0,0,0,1,1
26,1996-03-01,0,0,0,1,1
27,1996-04-01,0,0,0,1,1
28,1996-05-01,0,0,0,1,1
29,1996-06-01,1,0,0,1,0
30,1996-07-01,1,1,0,0,0
31,1996-08-01,0,0,0,1,1
32,1996-09-01,1,1,0,0,0
33,1996-10-01,1,1,0,0,0
34,1996-11-01,1,1,0,0,0
35,1996-12-01,0,0,0,1,1
36,1997-01-01,0,0,0,1,1
37,1997-02-01,0,0,0,1,1
38,1997-03-01,0,0,0,1,1
39,1997-04-01,1,0,1,0,0
40,1997-05-01,1,1,0,0,0
41,1997-06-01,1,1,0,0,0
42,1997-07-01,1,1,0,0,0
43,1997-08-01,1,1,0,0,0
44,1997-09-01,1,1,0,0,0
45,1997-10-01,1,1,0,0,0
46,1997-11-01,1,1,0,0,0
47,1997-12-01,1,1,0,0,0
48,1998-01-01,1,1,0,0,0
49,1998-02-01,0,1,0,0,1
50,1998-03-01,0,0,0,1,1
51,1998-04-01,0,0,1,0,1
52,1998-05-01,1,0,0,1,0
53,1998-06-01,1,1,0,0,0
54,1998-07-01,1,0,0,0,1
55,1998-08-01,1,1,0,0,0
56,1998-09-01,1,1,0,0,0
57,1998-10-01,0,0,0,1,1
58,1998-11-01,0,0,0,1,1
59,1998-12-01,0,0,0,1,1
60,1999-01-01,0,0,1,1,0
61,1999-02-01,0,0,0,1,1
62,1999-03-01,0,0,0,1,1
63,1999-04-01,0,0,0,1,1
64,1999-05-01,0,0,0,1,1
65,1999-06-01,0,0,0,1,1
66,1999-07-01,0,0,0,1,1
67,1999-08-01,0,0,0,1,1
68,1999-09-01,0,0,0,1,1
69,1999-10-01,0,0,0,1,1
70,1999-11-01,0,0,0,1,1
71,1999-12-01,0,0,0,1,1
