date,est,y_sample,date
1994-01-01,96.55312440413472,96.544,1994-01-01
1994-02-01,96.52149588646009,96.01899999999999,1994-02-01
1994-03-01,96.53465195068608,95.62200000000001,1994-03-01
1994-04-01,96.39570521280861,95.13799999999999,1994-04-01
1994-05-01,96.0057434170915,94.84100000000001,1994-05-01
1994-06-01,95.42090382608221,94.71799999999999,1994-06-01
1994-07-01,95.00037259094346,94.806,1994-07-01
1994-08-01,94.81539569231938,94.681,1994-08-01
1994-09-01,94.74613666446075,94.305,1994-09-01
1994-10-01,94.5431038335475,94.13600000000001,1994-10-01
1994-11-01,94.19591367013291,93.39200000000001,1994-11-01
1994-12-01,93.5287672536948,93.125,1994-12-01
1995-01-01,93.26580986064381,93.479,1995-01-01
1995-02-01,93.20529088088263,93.84100000000001,1995-02-01
1995-03-01,93.18315840644865,93.86399999999999,1995-03-01
1995-04-01,93.57464175734331,93.94,1995-04-01
1995-05-01,93.85029915182751,94.448,1995-05-01
1995-06-01,94.01002886456413,94.61399999999999,1995-06-01
1995-07-01,94.18016811140363,94.564,1995-07-01
1995-08-01,94.50246998580786,94.53399999999999,1995-08-01
1995-09-01,94.56383433778902,94.479,1995-09-01
1995-10-01,94.517628056144,94.62100000000001,1995-10-01
1995-11-01,94.52933106526861,94.818,1995-11-01
1995-12-01,94.60994560411072,95.00200000000001,1995-12-01
1996-01-01,94.81001644934283,95.21600000000001,1996-01-01
1996-02-01,95.09521219317857,94.99,1996-02-01
1996-03-01,95.092501793152,94.698,1996-03-01
1996-04-01,95.0251559035006,94.618,1996-04-01
1996-05-01,94.80517049831231,94.49799999999999,1996-05-01
1996-06-01,94.58976542848778,94.484,1996-06-01
1996-07-01,94.53587583213032,94.301,1996-07-01
1996-08-01,94.41940493773515,94.35700000000001,1996-08-01
1996-09-01,94.34572534992265,94.493,1996-09-01
1996-10-01,94.38605014859556,94.70700000000001,1996-10-01
1996-11-01,94.51038455330512,94.788,1996-11-01
1996-12-01,94.65136530823904,94.69,1996-12-01
1997-01-01,94.73289012807825,94.675,1997-01-01
1997-02-01,94.72443530556785,94.58200000000001,1997-02-01
1997-03-01,94.64750950588731,94.26,1997-03-01
1997-04-01,94.45679729570448,94.36,1997-04-01
1997-05-01,94.35398545375467,94.39299999999999,1997-05-01
1997-06-01,94.31805017816497,94.546,1997-06-01
1997-07-01,94.39554296451034,94.647,1997-07-01
1997-08-01,94.47285952596614,94.44200000000001,1997-08-01
1997-09-01,94.50076194690446,94.589,1997-09-01
1997-10-01,94.51121825745749,94.853,1997-10-01
1997-11-01,94.58024844069155,94.66799999999999,1997-11-01
1997-12-01,94.68267318246984,94.73299999999999,1997-12-01
1998-01-01,94.72621324887908,94.98100000000001,1998-01-01
1998-02-01,94.74979002329938,94.823,1998-02-01
1998-03-01,94.82235402373566,94.824,1998-03-01
1998-04-01,94.85707395184735,94.81,1998-04-01
1998-05-01,94.81823465425589,94.805,1998-05-01
1998-06-01,94.81337671293683,94.803,1998-06-01
1998-07-01,94.80616606352122,94.738,1998-07-01
1998-08-01,94.78156431895302,95.09899999999999,1998-08-01
1998-09-01,94.88333215441864,95.53399999999999,1998-09-01
1998-10-01,95.18580720682338,95.725,1998-10-01
1998-11-01,95.61692767779222,95.47399999999999,1998-11-01
1998-12-01,95.6821447498637,95.65899999999999,1998-12-01
1999-01-01,95.74286445813338,95.619,1999-01-01
1999-02-01,95.66922400013354,95.227,1999-02-01
1999-03-01,95.71066297215401,95.429,1999-03-01
1999-04-01,95.60244183794094,95.40899999999999,1999-04-01
1999-05-01,95.43447537581599,95.12799999999999,1999-05-01
1999-06-01,95.43374746294747,94.94,1999-06-01
1999-07-01,95.21185915446164,94.825,1999-07-01
1999-08-01,94.98818074174049,94.68,1999-08-01
1999-09-01,94.8080428720733,94.76899999999999,1999-09-01
1999-10-01,94.75413472872057,94.587,1999-10-01
1999-11-01,94.65264948430733,94.385,1999-11-01
1999-12-01,94.48282601448473,94.29299999999999,1999-12-01
