,date,1,2,3,4,5
0,1994-01-01,1,1,0,0,0
1,1994-02-01,1,1,0,0,0
2,1994-03-01,1,1,0,0,0
3,1994-04-01,1,1,0,0,0
4,1994-05-01,1,0,0,1,0
5,1994-06-01,1,0,1,0,0
6,1994-07-01,0,0,0,1,1
7,1994-08-01,0,0,0,1,1
8,1994-09-01,1,1,0,0,0
9,1994-10-01,1,1,0,0,0
10,1994-11-01,0,1,0,0,1
11,1994-12-01,0,1,0,0,1
12,1995-01-01,0,0,1,0,1
13,1995-02-01,0,0,0,1,1
14,1995-03-01,0,0,0,1,1
15,1995-04-01,0,0,0,1,1
16,1995-05-01,0,0,0,1,1
17,1995-06-01,0,0,0,1,1
18,1995-07-01,0,0,1,0,1
19,1995-08-01,0,1,1,0,0
20,1995-09-01,0,0,0,1,1
21,1995-10-01,0,0,0,1,1
22,1995-11-01,0,0,0,1,1
23,1995-12-01,0,0,0,1,1
24,1996-01-01,0,0,1,1,0
25,1996-02-01,1,1,0,0,0
26,1996-03-01,1,1,0,0,0
27,1996-04-01,1,1,0,0,0
28,1996-05-01,1,1,0,0,0
29,1996-06-01,0,1,0,0,1
30,1996-07-01,0,0,1,0,1
31,1996-08-01,1,1,0,0,0
32,1996-09-01,0,0,0,1,1
33,1996-10-01,0,0,0,1,1
34,1996-11-01,0,0,0,1,1
35,1996-12-01,1,1,0,0,0
36,1997-01-01,1,1,0,0,0
37,1997-02-01,1,1,0,0,0
38,1997-03-01,1,1,0,0,0
39,1997-04-01,0,0,0,1,1
40,1997-05-01,0,0,0,1,1
41,1997-06-01,0,0,0,1,1
42,1997-07-01,0,0,0,1,1
43,1997-08-01,0,0,0,1,1
44,1997-09-01,0,0,1,0,1
45,1997-10-01,0,0,0,1,1
46,1997-11-01,0,0,0,1,1
47,1997-12-01,0,0,0,1,1
48,1998-01-01,0,0,0,1,1
49,1998-02-01,0,0,1,1,0
50,1998-03-01,1,1,0,0,0
51,1998-04-01,1,1,0,0,0
52,1998-05-01,0,0,1,0,1
53,1998-06-01,0,0,0,1,1
54,1998-07-01,0,0,1,1,0
55,1998-08-01,0,0,0,1,1
56,1998-09-01,0,0,0,1,1
57,1998-10-01,1,1,0,0,0
58,1998-11-01,1,1,0,0,0
59,1998-12-01,1,1,0,0,0
60,1999-01-01,1,0,0,0,1
61,1999-02-01,1,1,0,0,0
62,1999-03-01,1,1,0,0,0
63,1999-04-01,1,1,0,0,0
64,1999-05-01,1,1,0,0,0
65,1999-06-01,1,1,0,0,0
66,1999-07-01,1,1,0,0,0
67,1999-08-01,1,1,0,0,0
68,1999-09-01,0,1,1,0,0
69,1999-10-01,1,1,0,0,0
70,1999-11-01,1,1,0,0,0
71,1999-12-01,1,1,0,0,0
