date,est,y_sample,date
1985-01-01,91.16425461727401,91.542,1985-01-01
1985-02-01,91.44794552990048,90.777,1985-02-01
1985-03-01,91.43643477625594,90.85799999999999,1985-03-01
1985-04-01,91.2676558917564,91.464,1985-04-01
1985-05-01,91.22565499788755,92.287,1985-05-01
1985-06-01,91.9005516081937,92.569,1985-06-01
1985-07-01,92.4012817101073,92.171,1985-07-01
1985-08-01,92.44627506578333,92.301,1985-08-01
1985-09-01,92.44874314015087,92.291,1985-09-01
1985-10-01,92.29106883364729,92.524,1985-10-01
1985-11-01,92.43959554553817,92.619,1985-11-01
1985-12-01,92.56460114995802,92.794,1985-12-01
1986-01-01,92.714846322661,92.72200000000001,1986-01-01
1986-02-01,92.75680010094352,92.90700000000001,1986-02-01
1986-03-01,92.85551853323581,93.434,1986-03-01
1986-04-01,93.20760383014365,93.71,1986-04-01
1986-05-01,93.55968466982662,93.411,1986-05-01
1986-06-01,93.60371169737039,93.78299999999999,1986-06-01
1986-07-01,93.73348290976057,93.991,1986-07-01
1986-08-01,93.87675272565332,94.65,1986-08-01
1986-09-01,94.36373402969099,94.34299999999999,1986-09-01
1986-10-01,94.4909173313969,94.521,1986-10-01
1986-11-01,94.58040906065983,94.4,1986-11-01
1986-12-01,94.46565261651993,94.12,1986-12-01
1987-01-01,94.44971652350822,94.281,1987-01-01
1987-02-01,94.33717537788144,94.16799999999999,1987-02-01
1987-03-01,94.23063230488354,93.98899999999999,1987-03-01
1987-04-01,94.21897176060914,93.39200000000001,1987-04-01
1987-05-01,94.04931869275745,93.102,1987-05-01
1987-06-01,93.72018850846274,93.387,1987-06-01
1987-07-01,93.37826785280173,93.318,1987-07-01
1987-08-01,93.34477306997557,93.03,1987-08-01
1987-09-01,93.33641733436482,92.40100000000001,1987-09-01
1987-10-01,93.14901400887857,93.47200000000001,1987-10-01
1987-11-01,93.23008633337297,93.331,1987-11-01
1987-12-01,93.35830852828855,93.014,1987-12-01
1988-01-01,93.3802900387425,93.45,1988-01-01
1988-02-01,93.37395814988167,93.60600000000001,1988-02-01
1988-03-01,93.50957241441215,93.38,1988-03-01
1988-04-01,93.53406762573569,93.17299999999999,1988-04-01
1988-05-01,93.48782058057405,92.62200000000001,1988-05-01
1988-06-01,93.23865072282216,92.766,1988-06-01
1988-07-01,92.98343668490878,92.36,1988-07-01
1988-08-01,92.67613919078045,92.07799999999999,1988-08-01
1988-09-01,92.56467237531331,92.355,1988-09-01
1988-10-01,92.33780095504302,92.402,1988-10-01
1988-11-01,92.35408716148285,91.885,1988-11-01
1988-12-01,92.3384853420751,91.51100000000001,1988-12-01
1989-01-01,92.1427148489961,91.5,1989-01-01
1989-02-01,91.72683327591902,91.07,1989-02-01
1989-03-01,91.47372084257513,90.851,1989-03-01
1989-04-01,91.29533935362831,91.302,1989-04-01
1989-05-01,91.17750037459362,91.60799999999999,1989-05-01
1989-06-01,91.41843671903104,92.223,1989-06-01
1989-07-01,91.92556674675843,92.684,1989-07-01
1989-08-01,92.42049889485712,92.208,1989-08-01
1989-09-01,92.4985669837427,92.04799999999999,1989-09-01
1989-10-01,92.46671802227944,92.546,1989-10-01
1989-11-01,92.35030053658218,92.618,1989-11-01
1989-12-01,92.51107281367975,92.49700000000001,1989-12-01
1990-01-01,92.57483165749122,92.242,1990-01-01
1990-02-01,92.51907926971765,92.266,1990-02-01
1990-03-01,92.38094939536595,92.089,1990-03-01
1990-04-01,92.2303323670267,91.81700000000001,1990-04-01
1990-05-01,92.13535057432554,92.2,1990-05-01
1990-06-01,92.09963882175411,92.381,1990-06-01
1990-07-01,92.23280585086357,92.619,1990-07-01
1990-08-01,92.47307730188912,92.682,1990-08-01
1990-09-01,92.61587230429232,92.65799999999999,1990-09-01
1990-10-01,92.66405703368585,92.816,1990-10-01
1990-11-01,92.74827487237899,92.949,1990-11-01
1990-12-01,92.86084949352582,93.316,1990-12-01
1991-01-01,93.14339370251709,93.605,1991-01-01
1991-02-01,93.42535685859653,93.71,1991-02-01
1991-03-01,93.64605920423553,93.78,1991-03-01
1991-04-01,93.73740443703765,93.98700000000001,1991-04-01
1991-05-01,93.89064077229368,93.95100000000001,1991-05-01
1991-06-01,93.96144351660996,93.834,1991-06-01
1991-07-01,93.96038721591407,94.01100000000001,1991-07-01
1991-08-01,93.97785043924263,94.48299999999999,1991-08-01
1991-09-01,94.27752211969084,94.757,1991-09-01
1991-10-01,94.60862212636,94.977,1991-10-01
1991-11-01,94.86467731595688,95.29899999999999,1991-11-01
1991-12-01,95.154449983855,95.90299999999999,1991-12-01
1992-01-01,95.64137085773343,95.765,1992-01-01
1992-02-01,95.82288189348466,95.706,1992-02-01
1992-03-01,95.84427637059545,95.495,1992-03-01
1992-04-01,95.73033131018258,95.71799999999999,1992-04-01
1992-05-01,95.70593484013197,95.83200000000001,1992-05-01
1992-06-01,95.77222982738192,96.01799999999999,1992-06-01
1992-07-01,95.93600725994914,96.493,1992-07-01
1992-08-01,96.2944249220871,96.62299999999999,1992-08-01
1992-09-01,96.5462600209971,96.943,1992-09-01
1992-10-01,96.79336199110477,96.46799999999999,1992-10-01
1992-11-01,96.78222508656023,96.154,1992-11-01
1992-12-01,96.70616314598725,96.415,1992-12-01
1993-01-01,96.42334952850416,96.595,1993-01-01
1993-02-01,96.4904753804455,96.726,1993-02-01
1993-03-01,96.6508276601746,96.70299999999999,1993-03-01
1993-04-01,96.70699182823073,96.766,1993-04-01
1993-05-01,96.74538381391467,96.405,1993-05-01
