date,est,y_sample,date
1985-01-01,81.85698800019159,82.42,1985-01-01
1985-02-01,82.29149464482983,81.24,1985-02-01
1985-03-01,82.27620764140342,81.521,1985-03-01
1985-04-01,82.03393137821229,82.258,1985-04-01
1985-05-01,81.93479858820038,83.99600000000002,1985-05-01
1985-06-01,83.22446434804606,84.18700000000003,1985-06-01
1985-07-01,84.00959651773249,83.803,1985-07-01
1985-08-01,84.09094137056672,83.772,1985-08-01
1985-09-01,84.03578004229423,84.02,1985-09-01
1985-10-01,83.932286773639,84.325,1985-10-01
1985-11-01,84.17692849530182,84.693,1985-11-01
1985-12-01,84.51380683208815,85.46700000000001,1985-12-01
1986-01-01,85.11909882056358,85.545,1986-01-01
1986-02-01,85.46994678037086,85.976,1986-02-01
1986-03-01,85.79941519703642,87.221,1986-03-01
1986-04-01,86.68146913459931,87.456,1986-04-01
1986-05-01,87.28107983737426,86.369,1986-05-01
1986-06-01,87.30063004704444,87.315,1986-06-01
1986-07-01,87.34151833054192,87.883,1986-07-01
1986-08-01,87.57129150359232,88.76799999999999,1986-08-01
1986-09-01,88.35467153844199,88.105,1986-09-01
1986-10-01,88.48215175539531,88.406,1986-10-01
1986-11-01,88.5922646811922,88.448,1986-11-01
1986-12-01,88.41318172393244,88.16799999999998,1986-12-01
1987-01-01,88.41614341256961,88.31200000000004,1987-01-01
1987-02-01,88.37932078189202,88.17200000000004,1987-02-01
1987-03-01,88.25832446923872,87.88,1987-03-01
1987-04-01,88.23150445244084,86.539,1987-04-01
1987-05-01,87.96561891951141,85.836,1987-05-01
1987-06-01,87.27073419124561,86.316,1987-06-01
1987-07-01,86.40989875388263,86.079,1987-07-01
1987-08-01,86.1969652869456,85.49600000000002,1987-08-01
1987-09-01,86.17459559607745,84.46700000000001,1987-09-01
1987-10-01,85.75531380916857,85.81,1987-10-01
1987-11-01,85.6088087902436,85.959,1987-11-01
1987-12-01,85.8227594184565,85.85,1987-12-01
1988-01-01,85.9115462394763,86.646,1988-01-01
1988-02-01,86.3673788029622,86.929,1988-02-01
1988-03-01,86.75463979224524,86.471,1988-03-01
1988-04-01,86.79751982747226,85.844,1988-04-01
1988-05-01,86.68692539808886,85.124,1988-05-01
1988-06-01,86.14991116829864,85.463,1988-06-01
1988-07-01,85.65704526668131,84.73100000000002,1988-07-01
1988-08-01,85.28910815461943,84.31700000000002,1988-08-01
1988-09-01,85.12706191984404,84.794,1988-09-01
1988-10-01,84.74352476728968,85.085,1988-10-01
1988-11-01,84.9258067391737,84.12799999999999,1988-11-01
1988-12-01,84.91421890545215,83.61399999999998,1988-12-01
1989-01-01,84.64881641434516,83.685,1989-01-01
1989-02-01,83.94822291819685,83.009,1989-02-01
1989-03-01,83.62168789953927,82.73,1989-03-01
1989-04-01,83.38678612415079,83.35700000000001,1989-04-01
1989-05-01,83.18901654462366,84.19,1989-05-01
1989-06-01,83.79176026833133,85.413,1989-06-01
1989-07-01,84.83691021636942,86.31200000000004,1989-07-01
1989-08-01,85.83738935404251,84.831,1989-08-01
1989-09-01,85.89161549528819,84.698,1989-09-01
1989-10-01,85.72815255828405,85.76899999999998,1989-10-01
1989-11-01,85.38259778702708,85.941,1989-11-01
1989-12-01,85.79487663483688,85.631,1989-12-01
1990-01-01,85.8554034328559,85.04799999999999,1990-01-01
1990-02-01,85.75915398565226,84.806,1990-02-01
1990-03-01,85.36664932946675,84.37899999999998,1990-03-01
1990-04-01,84.9080633006392,83.927,1990-04-01
1990-05-01,84.58312988666079,84.712,1990-05-01
1990-06-01,84.52947756310246,85.102,1990-06-01
1990-07-01,84.86960364713354,85.646,1990-07-01
1990-08-01,85.38008064852814,85.375,1990-08-01
1990-09-01,85.5058062261521,85.404,1990-09-01
1990-10-01,85.5469225294059,85.895,1990-10-01
1990-11-01,85.69924146518895,86.287,1990-11-01
1990-12-01,86.07584791443342,86.825,1990-12-01
1991-01-01,86.56533069354569,87.09200000000001,1991-01-01
1991-02-01,86.93597334506869,87.12,1991-02-01
1991-03-01,87.0937268440009,86.932,1991-03-01
1991-04-01,87.0978917661703,87.485,1991-04-01
1991-05-01,87.31704699483922,87.38,1991-05-01
1991-06-01,87.41246750725225,87.14299999999999,1991-06-01
1991-07-01,87.42201218530188,87.477,1991-07-01
1991-08-01,87.4188788133024,88.12899999999998,1991-08-01
1991-09-01,87.83365785441782,88.811,1991-09-01
1991-10-01,88.47242294548833,89.397,1991-10-01
1991-11-01,89.09620264634022,89.81700000000002,1991-11-01
1991-12-01,89.59455399219483,90.962,1991-12-01
1992-01-01,90.46862147017974,90.4,1992-01-01
1992-02-01,90.6827664098977,90.044,1992-02-01
1992-03-01,90.70291445919273,89.47,1992-03-01
1992-04-01,90.20882173031607,89.78,1992-04-01
1992-05-01,89.90971224563279,90.146,1992-05-01
1992-06-01,89.96949940042973,90.848,1992-06-01
1992-07-01,90.53094230575795,91.65799999999999,1992-07-01
1992-08-01,91.26694727405831,92.111,1992-08-01
1992-09-01,91.86078206621326,92.729,1992-09-01
1992-10-01,92.43113340001713,91.459,1992-10-01
1992-11-01,92.41186085435422,90.95700000000001,1992-11-01
1992-12-01,92.1639735665816,91.405,1992-12-01
1993-01-01,91.40913159987247,91.90299999999999,1993-01-01
1993-02-01,91.65429492399088,92.449,1993-02-01
1993-03-01,92.17569811137261,92.46799999999999,1993-03-01
1993-04-01,92.43106289438224,92.727,1993-04-01
1993-05-01,92.62434786035392,91.948,1993-05-01
1993-06-01,92.57602201744258,92.344,1993-06-01
1993-07-01,92.53114817291195,92.116,1993-07-01
1993-08-01,92.23370566668329,92.62100000000001,1993-08-01
1993-09-01,92.48465333143322,92.603,1993-09-01
1993-10-01,92.58750946477778,92.40899999999999,1993-10-01
1993-11-01,92.60211782984275,91.99700000000001,1993-11-01
1993-12-01,92.48846248667797,91.96,1993-12-01
1994-01-01,92.24452125707336,92.17,1994-01-01
1994-02-01,92.0974399190502,91.137,1994-02-01
1994-03-01,92.02405908814826,90.198,1994-03-01
1994-04-01,91.65322032631717,89.249,1994-04-01
1994-05-01,90.6587257107182,88.811,1994-05-01
1994-06-01,89.76742671229759,88.56200000000004,1994-06-01
1994-07-01,89.04475654441853,88.822,1994-07-01
1994-08-01,88.80385574630706,88.54700000000004,1994-08-01
1994-09-01,88.71957945842635,87.807,1994-09-01
1994-10-01,88.6497271790573,87.391,1994-10-01
1994-11-01,88.20246236106209,86.488,1994-11-01
1994-12-01,87.55972525489747,86.042,1994-12-01
