date,est,y_sample,date
1994-01-01,96.47531571177353,95.62200000000001,1994-01-01
1994-02-01,96.29992965543643,95.13799999999999,1994-02-01
1994-03-01,95.82030851119158,94.84100000000001,1994-03-01
1994-04-01,95.40342711664202,94.71799999999999,1994-04-01
1994-05-01,95.00321508934437,94.806,1994-05-01
1994-06-01,94.81656858798364,94.681,1994-06-01
1994-07-01,94.76402500650173,94.305,1994-07-01
1994-08-01,94.71207072139812,94.13600000000001,1994-08-01
1994-09-01,94.49483595147356,93.39200000000001,1994-09-01
1994-10-01,94.14674923132061,93.125,1994-10-01
1994-11-01,93.76235968589275,93.479,1994-11-01
1994-12-01,93.40641880527869,93.84100000000001,1994-12-01
1995-01-01,93.62723852300859,93.86399999999999,1995-01-01
1995-02-01,93.81580758549678,93.94,1995-02-01
1995-03-01,93.90313066032049,94.448,1995-03-01
1995-04-01,94.2165536957003,94.61399999999999,1995-04-01
1995-05-01,94.48060096333022,94.564,1995-05-01
1995-06-01,94.5788357871637,94.53399999999999,1995-06-01
1995-07-01,94.58814815763138,94.479,1995-07-01
1995-08-01,94.54488205180519,94.62100000000001,1995-08-01
1995-09-01,94.57658136223205,94.818,1995-09-01
1995-10-01,94.71455247224486,95.00200000000001,1995-10-01
1995-11-01,94.90229686996074,95.21600000000001,1995-11-01
1995-12-01,95.10544541204246,94.99,1995-12-01
1996-01-01,95.13328629915567,94.698,1996-01-01
1996-02-01,95.09518945237738,94.618,1996-02-01
1996-03-01,94.85553114393997,94.49799999999999,1996-03-01
1996-04-01,94.64778242685519,94.484,1996-04-01
1996-05-01,94.5658776305229,94.301,1996-05-01
1996-06-01,94.47474654044119,94.35700000000001,1996-06-01
1996-07-01,94.42209655437871,94.493,1996-07-01
1996-08-01,94.42729304321996,94.70700000000001,1996-08-01
1996-09-01,94.59322060176633,94.788,1996-09-01
1996-10-01,94.72777217707393,94.69,1996-10-01
1996-11-01,94.75139330164141,94.675,1996-11-01
1996-12-01,94.74362124134606,94.58200000000001,1996-12-01
1997-01-01,94.673200271875,94.26,1997-01-01
1997-02-01,94.59506693375856,94.36,1997-02-01
1997-03-01,94.47028436202278,94.39299999999999,1997-03-01
1997-04-01,94.36584301550445,94.546,1997-04-01
1997-05-01,94.47460462514636,94.647,1997-05-01
1997-06-01,94.58227866153071,94.44200000000001,1997-06-01
1997-07-01,94.58573897932247,94.589,1997-07-01
1997-08-01,94.60214036009877,94.853,1997-08-01
1997-09-01,94.71291487277723,94.66799999999999,1997-09-01
1997-10-01,94.7603702124804,94.73299999999999,1997-10-01
1997-11-01,94.78996813917774,94.98100000000001,1997-11-01
1997-12-01,94.86495272136125,94.823,1997-12-01
1998-01-01,94.90026885336398,94.824,1998-01-01
1998-02-01,94.91618909874029,94.81,1998-02-01
1998-03-01,94.82239686652416,94.805,1998-03-01
1998-04-01,94.81728350649263,94.803,1998-04-01
1998-05-01,94.80761321917743,94.738,1998-05-01
1998-06-01,94.79914653672641,95.09899999999999,1998-06-01
1998-07-01,94.9683760322203,95.53399999999999,1998-07-01
1998-08-01,95.31784425094699,95.725,1998-08-01
1998-09-01,95.61116507525688,95.47399999999999,1998-09-01
1998-10-01,95.64431612167546,95.65899999999999,1998-10-01
1998-11-01,95.68706777218172,95.619,1998-11-01
1998-12-01,95.63467180703043,95.227,1998-12-01
1999-01-01,95.62823416347516,95.429,1999-01-01
1999-02-01,95.5275957044092,95.40899999999999,1999-02-01
1999-03-01,95.41325133527369,95.12799999999999,1999-03-01
1999-04-01,95.41008573406562,94.94,1999-04-01
1999-05-01,95.28091466090572,94.825,1999-05-01
1999-06-01,95.03869743835996,94.68,1999-06-01
1999-07-01,94.87580562967803,94.76899999999999,1999-07-01
1999-08-01,94.7908926374936,94.587,1999-08-01
1999-09-01,94.7196040386562,94.385,1999-09-01
1999-10-01,94.66420424023956,94.29299999999999,1999-10-01
1999-11-01,94.48717843302096,94.005,1999-11-01
1999-12-01,94.31025948433548,94.085,1999-12-01
